fold,n_volumes,precision,sensitivity,specificity,accuracy,dice,cldice,abs_cc_error,avd_percent,kappa,pred_voxels,gt_voxels,pred_connected_components,gt_connected_components
0,4,0.9392143841528653,0.9687894896200209,0.9926515322843058,0.9901194007803745,0.9535206576584299,0.9594668016015891,112.75,3.2223095772416834,0.9479210121264254,37394198.75,36325283.0,485.25,388.5
1,4,0.9779600318690924,0.8654813672169125,0.9984901817406227,0.9882772387547427,0.9165195894966709,0.8926251986863742,354.0,11.46130690987895,0.9102688625088361,27262062.75,30714793.75,678.5,324.5
2,4,0.939117992748886,0.9799436788076626,0.9936080445214863,0.9924874277218156,0.9590541279237237,0.9577176983107417,88.25,4.370594587921775,0.9548767719369805,30134874.25,28910330.75,591.0,565.25
3,4,0.9647658044546857,0.8863958638083601,0.9960550103021356,0.9823941765504257,0.9237117181685452,0.9464046757835942,220.75,8.129076977359674,0.9135385969603902,38139894.5,41457523.75,492.0,271.25
4,4,0.946353989652662,0.9580900996092321,0.9924788828885712,0.9885845894718985,0.9517542011859579,0.9488151920522309,138.0,4.15307182232258,0.9452099380440077,34003211.5,33477112.25,354.75,265.25
all,20,0.9534824405756384,0.9317400998124377,0.9946567303474243,0.9883725666558515,0.9409120588866656,0.941005913286906,182.75,6.267271974944933,0.9343630363153281,33386848.35,34177008.7,520.3,362.95
