"fold","case_id","volume_name","shape","n_voxels","tp","tn","fp","fn","precision","sensitivity","specificity","accuracy","dice","cldice","pred_voxels","gt_voxels","pred_connected_components","gt_connected_components","abs_cc_error","avd_percent","kappa"
"0","source_subject_04_volume_01","source_subject_04_volume_01.tiff","128x996x2666","339883008","32929848","303639074","2730370","583716","0.9234337266250027","0.9825826939802642","0.9910879819986226","0.9902493330881667","0.9520904321813718","0.9271461745994765","35660218","33513564","489","429","60","6.405328899069046","0.946668592436835"
"0","source_subject_04_volume_02","source_subject_04_volume_02.tiff","128x957x2671","327186816","25647210","297688469","1662302","2188835","0.9391310251168165","0.9213668824001399","0.9944469760527191","0.9882295471220943","0.9301641472222323","0.929825957210827","27309512","27836045","721","285","436","1.8915510446976214","0.923737956989645"
"0","source_subject_08_volume_01","source_subject_08_volume_01.tiff","128x995x2665","339414400","24864915","313459837","756108","333540","0.9704887661979773","0.9867634741891914","0.9975936676288022","0.996789623539838","0.9785584574481462","0.9829201983812481","25621023","25198455","540","485","55","1.6769599564735218","0.9768235045949135"
"0","source_subject_08_volume_02","source_subject_08_volume_02.tiff","128x1008x2675","345139200","56737253","284016677","2369455","2015815","0.9599122488770648","0.965690047028693","0.9917263626438447","0.9872941989782673","0.9627924797685005","0.9362400536495603","59106708","58753068","590","355","235","0.6019089930759021","0.9551316137410816"
"1","source_subject_09_volume_01","source_subject_09_volume_01.tiff","128x1010x2950","381376000","19952455","358776325","361487","2285733","0.9822049802052206","0.8972158612922959","0.9989934588118502","0.9930587661520389","0.9377887781410708","0.9522608315247508","20313942","22238188","315","223","92","8.652890244474955","0.9341210636934447"
"1","source_subject_09_volume_02","source_subject_09_volume_02.tiff","128x1006x2988","384758784","23258660","357493739","282423","3723962","0.9880029733551341","0.8619866520014252","0.9992106153791207","0.9895872812613942","0.9207028661100765","0.889472328345972","23541083","26982622","388","364","24","12.754650011403635","0.9151583185046362"
"1","source_subject_07_volume_01","source_subject_07_volume_01.tiff","128x1074x2673","367462656","22895217","337543132","161053","6863254","0.9930147851322004","0.7693680565779069","0.9995230944502509","0.9808842969882632","0.8670010139782754","0.8146941263453998","23056270","29758471","644","263","381","22.521993821523964","0.8568815648096787"
"1","source_subject_07_volume_02","source_subject_07_volume_02.tiff","128x1346x2667","459492096","40441935","415073484","538718","3437959","0.9868543334338767","0.9216506995208329","0.9987037964780447","0.9913454942215154","0.9531386829264723","0.9602626253532486","40980653","43879894","695","448","247","6.607219698388515","0.9483773220664867"
"2","source_subject_02_volume_01","source_subject_02_volume_01.tiff","128x1138x2064","300650496","34380775","263461636","1719440","1088645","0.9523703667692838","0.9693075048873085","0.9935159777389243","0.990659968843025","0.9607642961990794","0.9602202684141369","36100215","35469420","350","305","45","1.7784192693311591","0.9554638031149939"
"2","source_subject_02_volume_02","source_subject_02_volume_02.tiff","128x1003x2329","299006336","17782257","279293105","1006682","924292","0.9464215621754906","0.9505899244163101","0.9964085523903734","0.9935420298250803","0.9485011636600116","0.9430691133002057","18788939","18706549","1194","1146","48","0.4404339891874231","0.9450561951412982"
