fold,n_volumes,precision,sensitivity,specificity,accuracy,dice,cldice,abs_cc_error,avd_percent,kappa,pred_voxels,gt_voxels,pred_connected_components,gt_connected_components
0,4,0.9482414417042153,0.9641007743995721,0.9937137470809971,0.9906406756820916,0.9559013791550627,0.944033095960278,196.5,2.6439372233290226,0.9505904169406187,36924365.25,36325283.0,585.0,388.5
1,4,0.9875192680316079,0.8625553173481152,0.9991077412798166,0.9887189596558029,0.9196578352889737,0.9041724778923428,186.0,12.634188443947767,0.9136345672685616,26972987.0,30714793.75,510.5,324.5
2,4,0.9528961410883153,0.9715623697637304,0.9949449669495177,0.9930302757804391,0.9621064770569806,0.9611782117924644,59.0,1.9571252167584148,0.9582270490513374,29576138.5,28910330.75,624.25,565.25
3,4,0.9656784249765953,0.8800832207931588,0.9962371447426224,0.9819360712274013,0.9204972980898422,0.9480848954429326,398.0,8.84142034569431,0.9100698225274422,37936848.5,41457523.75,669.25,271.25
4,4,0.9563590663119912,0.9464087168506096,0.9939676209464063,0.9884485025483546,0.9508402023717617,0.9433662077525962,232.5,4.083347089292042,0.944227390894341,33156893.5,33477112.25,466.75,265.25
all,20,0.9621388684225451,0.9249420798310373,0.9955942441998719,0.9885548969788178,0.9418006383925241,0.9401669777681226,214.4,6.032003663804311,0.93534984933646,32913446.55,34177008.7,571.15,362.95
